Day_of_week,Date,6:30 AM,7:30 AM,8:30 AM,9:30 AM,10:30 AM,11:30 AM,12:30 PM,1:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,6:30 PM,7:30 PM,8:30 PM,9:30 PM,10:30 PM,11:30 PM,12:30 AM,1:30 AM,2:30 AM,3:30 AM,4:30 AM,5:30 AM,Day_wise_engineers,Chat_or_not
Friday,19-Mar-21,10,12,2,5,12,12,12,14,14,18,29,10,9,10,12,16,17,15,16,23,10,7,9,6,16,1
Saturday,20-Mar-21,3,1,2,3,2,1,4,2,3,2,3,1,6,1,5,2,2,2,3,2,3,2,3,2,4,1
Sunday,21-Mar-21,2,0,0,0,0,3,3,4,3,4,6,0,2,4,7,8,4,0,3,2,2,2,2,3,4,1
Monday,22-Mar-21,2,3,4,20,21,20,30,22,13,29,34,19,15,30,33,28,31,41,34,17,32,25,15,10,27,1
Tuesday,23-Mar-21,8,6,6,9,18,21,19,25,24,27,19,11,26,15,18,24,25,19,28,16,23,25,15,11,23,1
Wednesday,24-Mar-21,13,10,8,16,12,16,21,12,17,21,16,20,8,22,25,18,30,22,16,15,20,14,6,10,20,1
Thursday,25-Mar-21,7,9,6,14,9,16,9,26,23,19,13,12,20,29,23,27,20,19,13,9,11,13,6,4,19,1
Friday,26-Mar-21,10,10,2,8,16,24,28,15,15,19,14,11,11,9,21,26,21,16,17,7,12,5,7,1,17,1
Saturday,27-Mar-21,6,2,2,5,5,4,1,3,2,5,4,1,4,1,5,4,0,1,0,2,0,0,2,0,4,1
Sunday,28-Mar-21,1,0,1,1,1,6,2,3,2,0,0,3,2,3,3,1,5,3,2,3,3,1,5,6,3,1
Monday,29-Mar-21,2,8,6,9,18,14,13,24,24,22,24,15,16,21,28,27,30,29,26,11,15,15,13,11,22,1
Tuesday,30-Mar-21,6,2,5,10,9,17,18,27,21,14,16,20,17,31,26,26,23,22,24,19,18,24,10,13,22,1
Wednesday,31-Mar-21,4,6,5,12,15,15,22,26,21,25,18,24,17,22,36,35,20,17,17,20,19,8,7,10,22,1
Monday,1-Feb-21,3,5,9,17,9,7,13,7,7,10,10,3,11,12,20,20,19,14,13,9,6,8,5,5,8,0
Tuesday,2-Feb-21,7,4,0,8,8,6,9,5,6,10,2,5,6,10,12,8,10,7,8,6,7,11,14,6,6,0
Wednesday,3-Feb-21,1,2,3,8,4,5,6,10,9,5,2,2,6,6,9,7,10,13,9,8,6,2,5,1,5,0
Thursday,4-Feb-21,4,3,1,3,8,6,5,1,4,6,4,3,4,9,17,12,12,2,8,9,6,5,3,7,5,0
Friday,5-Feb-21,4,1,3,6,9,4,2,9,2,6,3,5,3,7,8,5,10,11,5,4,6,3,10,1,4,0
Saturday,6-Feb-21,1,3,,1,0,2,2,0,1,0,0,1,4,0,0,1,2,1,2,0,2,0,1,0,1,0
Sunday,7-Feb-21,0,2,2,1,1,0,1,3,2,1,1,0,1,0,0,1,2,2,2,1,0,1,0,0,1,0
Monday,8-Feb-21,0,0,4,1,9,12,6,3,2,9,4,2,10,16,16,14,12,15,18,13,9,14,5,4,7,0
Tuesday,9-Feb-21,7,1,4,2,2,4,4,1,6,4,2,7,6,5,8,12,18,7,11,10,3,5,6,8,5,0
Wednesday,10-Feb-21,1,2,3,4,5,1,1,3,6,9,4,1,4,8,11,7,11,6,10,4,11,5,5,2,4,0
Thursday,11-Feb-21,2,5,2,2,0,2,7,8,6,1,1,1,10,14,6,5,8,8,9,9,1,10,2,6,4,0
Friday,12-Feb-21,4,1,1,4,5,10,5,1,2,2,3,1,2,2,5,5,7,2,1,4,5,2,1,2,3,0
Saturday,13-Feb-21,0,0,0,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,1,1,0
Sunday,14-Feb-21,0,1,2,0,1,0,1,3,1,0,1,0,0,0,2,1,0,1,0,0,2,0,1,2,1,0
Monday,15-Feb-21,2,4,5,12,7,12,8,6,2,5,3,8,2,4,5,8,11,3,3,4,8,5,4,8,5,0
Tuesday,16-Feb-21,4,1,3,6,6,9,4,1,7,3,2,5,8,13,14,15,18,9,16,15,10,10,6,4,6,0
Wednesday,17-Feb-21,1,2,1,5,3,2,5,4,4,4,2,4,8,18,16,14,8,9,9,7,3,7,6,0,5,0
Thursday,18-Feb-21,2,6,4,5,5,5,5,5,2,3,2,3,8,9,9,11,14,11,5,5,4,4,1,1,5,0
Friday,19-Feb-21,4,0,5,7,0,7,5,10,6,1,3,4,7,11,17,13,10,5,13,6,7,3,5,6,5,0
Saturday,20-Feb-21,1,2,1,0,0,2,1,1,1,1,1,0,0,1,1,0,3,0,2,2,1,0,0,0,1,0
Sunday,21-Feb-21,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,3,0,0,1,1,1,0,1,0,1,0
Monday,22-Feb-21,1,2,4,8,10,5,7,11,8,7,5,5,13,19,17,22,14,8,12,11,9,9,5,5,7,0
Tuesday,23-Feb-21,3,2,4,3,6,4,5,1,8,6,7,5,10,10,9,15,11,5,11,9,7,7,3,2,5,0
Wednesday,24-Feb-21,3,2,4,6,4,3,4,4,4,4,5,3,7,8,14,10,20,16,12,10,5,11,8,6,6,0
Thursday,25-Feb-21,5,9,4,5,2,2,9,5,5,5,7,7,12,11,10,15,6,5,14,7,4,9,4,4,6,0
Friday,26-Feb-21,3,7,5,8,4,7,1,1,3,1,2,5,10,7,5,11,9,13,8,12,8,6,1,1,5,0
Saturday,27-Feb-21,5,4,2,1,0,0,0,1,2,1,0,0,0,2,2,0,1,2,1,0,1,1,2,0,1,0
Sunday,28-Feb-21,0,0,1,1,0,0,1,0,3,1,0,2,0,0,1,0,0,2,3,2,1,4,0,3,1,0
Monday,1-Mar-21,4,11,9,13,4,9,8,6,7,6,4,8,7,18,23,26,16,13,14,14,9,10,5,6,8,0
Tuesday,2-Mar-21,4,1,1,7,8,11,12,7,8,5,12,7,11,17,20,13,12,6,8,6,9,4,9,3,7,0
Wednesday,3-Mar-21,3,0,7,3,4,4,3,7,6,7,1,3,5,7,11,14,9,7,7,3,8,7,3,7,5,0
Thursday,4-Mar-21,7,2,0,12,1,9,8,6,4,9,5,2,5,5,8,9,9,6,11,5,5,5,8,2,5,0
Friday,5-Mar-21,4,2,1,3,4,4,0,5,6,5,1,2,6,9,9,7,10,7,7,5,7,4,2,1,4,0
Saturday,6-Mar-21,2,0,0,0,1,2,0,1,0,1,1,0,1,0,4,0,2,2,0,0,0,2,2,0,1,0
Sunday,7-Mar-21,0,0,0,2,0,1,0,0,0,1,1,3,1,1,0,0,0,0,8,3,3,0,0,1,1,0
Monday,8-Mar-21,3,6,2,10,1,3,4,7,6,10,5,6,15,15,14,21,13,18,13,6,14,7,9,7,7,0
Tuesday,9-Mar-21,3,3,5,1,2,5,5,3,3,15,7,5,5,11,13,10,8,12,17,15,5,10,8,4,6,0
Wednesday,10-Mar-21,4,4,0,3,4,4,2,7,4,7,2,10,3,10,8,8,9,5,8,6,7,7,4,2,4,0
Thursday,11-Mar-21,4,0,2,5,4,1,0,4,1,3,9,4,3,1,7,11,5,8,9,10,5,5,2,3,4,0
Friday,12-Mar-21,4,3,2,7,4,7,2,5,4,2,5,5,5,11,2,7,9,9,5,8,8,8,6,1,5,0
Saturday,13-Mar-21,0,0,3,2,1,0,0,0,1,5,1,0,0,1,0,2,3,2,1,1,0,3,1,1,1,0
Sunday,14-Mar-21,2,1,0,4,1,0,0,1,0,0,0,1,0,3,1,1,3,0,0,0,2,1,0,3,1,0
Monday,15-Mar-21,2,1,6,2,10,5,3,2,4,11,4,2,16,13,17,12,13,15,12,17,23,12,15,5,7,0
Tuesday,16-Mar-21,5,2,6,5,2,3,2,9,4,2,3,5,8,11,19,10,11,11,8,12,8,8,7,5,6,0
Wednesday,17-Mar-21,1,4,3,3,5,3,9,5,5,2,5,5,5,9,8,6,8,8,4,8,8,3,11,6,5,0
Thursday,18-Mar-21,5,6,0,4,9,5,3,3,9,7,5,3,3,12,7,4,7,9,7,6,2,13,7,3,5,0
Friday,19-Mar-21,6,3,2,0,3,4,2,4,7,4,3,2,8,9,5,7,7,5,11,5,8,1,5,5,4,0
Saturday,20-Mar-21,5,1,0,0,1,2,0,1,0,0,3,0,0,0,0,2,6,2,4,2,3,0,0,1,2,0
Sunday,21-Mar-21,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,1,1,1,3,3,1,1,0,1,0
Monday,22-Mar-21,2,2,5,6,6,13,12,10,10,6,16,5,12,17,17,14,13,12,7,16,8,8,2,5,7,0
Tuesday,23-Mar-21,4,6,4,0,2,6,5,7,5,4,7,7,4,2,17,13,5,6,9,9,9,8,1,7,5,0
Wednesday,24-Mar-21,6,1,3,4,5,2,5,8,4,2,4,1,6,8,10,12,9,2,9,4,8,3,2,3,4,0
Thursday,25-Mar-21,1,3,1,2,6,4,11,10,4,2,11,5,8,5,5,9,13,12,4,6,9,2,5,6,5,0
Friday,26-Mar-21,1,2,0,0,4,6,0,1,3,7,6,1,0,6,7,5,14,10,6,4,7,7,4,2,4,0
Saturday,27-Mar-21,1,0,1,2,0,0,2,1,0,2,0,0,0,0,0,0,1,2,0,2,1,1,0,0,1,0
Sunday,28-Mar-21,0,0,0,0,1,5,1,0,1,0,0,0,1,1,1,1,2,0,1,1,0,0,1,1,1,0
Monday,29-Mar-21,0,5,5,1,6,9,6,4,9,4,2,8,9,10,17,14,10,9,10,3,9,5,10,10,6,0
Tuesday,30-Mar-21,4,2,2,3,3,8,10,1,2,0,4,5,4,5,8,11,8,8,7,8,9,8,2,11,5,0
Wednesday,31-Mar-21,1,5,2,4,7,5,4,6,7,3,1,3,8,17,6,4,5,9,13,5,11,9,6,5,5,0
